Term [en],Description [en],Part of Speech [en],Status [en],Type [en],Gender [en],Note [en],Url [en],Term [be],Description [be],Part of Speech [be],Status [be],Type [be],Gender [be],Note [be],Url [be],Term [pl],Description [pl],Part of Speech [pl],Status [pl],Type [pl],Gender [pl],Note [pl],Url [pl],Term [ru],Description [ru],Part of Speech [ru],Status [ru],Type [ru],Gender [ru],Note [ru],Url [ru],Term [uk],Description [uk],Part of Speech [uk],Status [uk],Type [uk],Gender [uk],Note [uk],Url [uk],Concept Definition,Concept Subject,Concept Note,Concept Url,Concept Figure,Translatable
Crustashine,,,,,,,,Ракабліск,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Extra-Adorable Lavae,,,,,,,,Надзвычай мілая лавалярва,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Mandrake,,,,,,,,Мандрагора,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Lureplant,,,,,,,,Пасткацвет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Mosquito,,,,,,,,Камар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Pig,,,,,,,,Свін,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Guardian Pig,,,,,,,,Свін-вартаўнік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Werepig,,,,,,,,Свіналак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Pig King,,,,,,,,Кароль свінаў,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Rabbit,,,,,,,,Трус,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Beardling,,,,,,,,Трусабарод,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Rock Lobster,,,,,,,,Каменны амар,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Crawling Horror,,,,,,,,Паўзучы жах,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Terrorbeak,,,,,,,,Страхадзюб,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Slurtle,,,,,,,,Смаўжаха,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Splumonkey,,,,,,,,Спелеамалпа,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Shadow Splumonkey,,,,,,,,Ценявая Спелеамалпа,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Spider,,,,,,,,Павук,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Spider Warrior,,,,,,,,Павук-ваяр,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Spider Queen,,,,,,,,Павуковая каралева,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Cave Spider,,,,,,,,Пячорны павук,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Spitter,,,,,,,,Плявун,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Dangling Depth Dweller,,,,,,,,Глыбінны целяпак,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Tallbird,,,,,,,,Рослаптах,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Teenbird,,,,,,,,Птушка-подлетак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Smallbird,,,,,,,,малаптах,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Tentacle,,,,,,,,Шчупальца,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Big Tentacle,,,,,,,,Вялікае шчупальца,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Baby Tentacle,,,,,,,,Шчупальцаня,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Shadow Tentacle,,,,,,,,Ценявое шчупальца,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Treeguard,,,,,,,,гаюн,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bearger,,,,,,,,медзвярсук,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Buzzard,,,,,,,,сіп,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Catcoon,,,,,,,,янотакот,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Dragonfly,,,,,,,,цмуха,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Glommer,,,,,,,,Гломмер,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Sculpture,,,,,,,,скульптура,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Figure,,,,,,,,фігура,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Statue,,,,,,,,статуя,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Pipton,,,,,,,,Піптон,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Sammy,,,,,,,,Сэммі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Pig House,,,,,,,,свінух,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Friendly,,,,,,,,Прыязны,DST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Scarecrow,,,,,,,,Пудзіла,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Royal Jelly,,,,,,,,Матачнае малачко,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Rook,,,,,,,,тура,(шахматная фігура),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Thulecite,,,,,,,,Тулецыт,Мінерал (DST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Silk,,,,,,,,Ядваб,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
preset,,,,,,,,шаблон,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bull Kelp,,,,,,,,Бычыныя водарасці,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
pearl,,,,,,,,Перліна,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Mod,,,,,,,,мадыфікацыя,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Nordic,,,,,,,,Нардычны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Froggle Bunwich,,,,,,,,Жабвіч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Melonsicle,,,,,,,,Ледзякавун,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Asparagus Soup,,,,,,,,Спаржавы суп,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bacon and Eggs,,,,,,,,Яйкі з беконам,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Banana Shake,,,,,,,,Бананавы шэйк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bisque,,,,,,,,Суп-пюрэ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Breakfast Skillet,,,,,,,,Сытны сняданак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Butter Muffin,,,,,,,,Матыляны кекс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Ceviche,,,,,,,,Сэвічэ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Divining Rod,,,,,,,,лазовы пруток,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Dreadstone,,,,,,,,жудневы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Driftwood,,,,,,,,Карчак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Cabbage Rolls,,,,,,,,Галубцы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Monster Meat,,,,,,,,Манстрына,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Boomshroom,,,,,,,,Грыбомба,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Mushlight,,,,,,,,Светламох,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Sproutrock,,,,,,,,Гарастак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Evergreen,,,,,,,,хваіна,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Light Flower,,,,,,,,светлацвет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Evil Flower,,,,,,,,ліхацвет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Glommer's Flower,,,,,,,,гломмерцвет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Glow Berry,,,,,,,,Святліцы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Blueprint,,,,,,,,рысунак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bunny,,,,,,,,заяц,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Kit,,,,,,,,зборны,"Для пераносных прадметаў, якія можна потым недзе паставіць (DST)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Chocolate Log,,,,,,,,Шакаладнае палена,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Rotting,,,,,,,,гнілы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Seeds,,,,,,,,насенне,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Killer Bee,,,,,,,,Хіжая пчала,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Helm,,,,,,,,шалом,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Codex Umbra,,,,,,,,Кодэкс Умбра,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Scrap,,,,,,,,Ламачча,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Junk,,,,,,,,Хлам’ё,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Kitschy,,,,,,,,Халтурны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Idol,,,,,,,,ідал,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Wet Goop,,,,,,,,Волкая калатуша,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Chair,,,,,,,,крэсла,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Wortox,,,,,,,,Вортакс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Decoration,,,,,,,,аздоба,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Reeds,,,,,,,,чарот,DST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Effigy,,,,,,,,стод,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Durian,,,,,,,,дурыян,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Toma Root,,,,,,,,таматны корань,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Sinkhole,,,,,,,,карставая лейка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Barnacle,,,,,,,,марскія жалуды,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Sketch,,,,,,,,накід,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Hunger,,,,,,,,сытасць,DST (паказальнік персанажа),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Constant,,,,,,,,Канстанта,назва вымярэння,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Survivor,,,,,,,,ацалелы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Crock Pot,,,,,,,,Казан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bunnymen,,,,,,,,Зайцалюды,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Rabbit Hutch,,,,,,,,Трусятнік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Fissure,,,,,,,,расшчэпіна,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bowl,,,,,,,,Міса,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Pumpkin,,,,,,,,гарбуз,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Pond,,,,,,,,Сажалка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Kelp,,,,,,,,водарасць,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Steel Wool,,,,,,,,cтальная воўна,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bream,,,,,,,,Лешч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bass,,,,,,,,Акунь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Packet,,,,,,,,пакунак,DST(для насення),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Brightshade,,,,,,,,Бліскацень,(DST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Sword,,,,,,,,меч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
pot,,,,,,,,гаршчок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Spoiled,,,,,,,,сапсаваны,DST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Vest,,,,,,,,камізэлька,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Top Hat,,,,,,,,Цыліндр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bramble,,,,,,,,ажына,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Adornment,,,,,,,,упрыгажэнне,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Protection,,,,,,,,абароненасць,DST(Статыстыка персанажа і вопраткі),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Torch,,,,,,,,паходня,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Discard,,,,,,,,"знос, знесці","ключаваое слова, механіка",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Group ID,,,,,,,,ідэнтыфікатар групы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Creature,,,,,,,,Істота,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Difficult,,,,,,,,Складана,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Cave,,,,,,,,пячора,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Chapter,,,,,,,,Раздзел,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Event,,,,,,,,Падзея,Агульнае,,,,FEMININE,,,Unikalna,,,,,,,,Событие,,,,,,,,Подія,,,,,,,,,,,,,yes
Sorcerer,,,,,,,,чараўнік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Diamonds,,,,,,,,звонкі,масць у картах,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Clubs,,,,,,,,трэфы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Expertise,,,,,,,,умеласць,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Suit,,,,,,,,гарнітур,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Outfit,,,,,,,,касцюм,"Калі ідзецца пра спэцыялізаваную экіпіроўку (Касцюм дайвера, на прыклад)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Archaic,,,,,,,,Прадаўні,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Rift,,,,,,,,Расколіна,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Eel,,,,,,,,вугор,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Algae,,,,,,,,багавінне,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Tent,,,,,,,,намёт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Turf,,,,,,,,глеба,(DST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Account,,,,,,,,Акаўнт,Уліковы запіс не ўладзіць (DST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
neck,,,,,,,,шыя,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Lunar,,,,,,,,Месяцовы,(DST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Essence,,,,,,,,эсэнцыя,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Costume,,,,,,,,строй,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Pattern,,,,,,,,Выкрайка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Funcap,,,,,,,,Грыбелюш,(DST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Rhinocebro,,,,,,,,Браткарог,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Moon Quay,,,,,,,,месячная прыстань,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Starter,,,,,,,,Флянс,"Расліны (DST,SV)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Boarrior,,,,,,,,Кнырака,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Cawnival,,,,,,,,Каррнавал,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Hole,,,,,,,,Кокан,толькі калі гаворка пра жытло пакукоў (DST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Pouch,,,,,,,,кайстра,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Pure Horror,,,,,,,,Існы жах,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Nitre,,,,,,,,салетра,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Nugget,,,,,,,,самародак,"Калі ідзецца пра руду, скальную пароду",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Gateway,,,,,,,,вароты,(DST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Mast,,,,,,,,шчогла,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Pinetree Pioneer,,,,,,,,чваёвы піянер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Healer,,,,,,,,лекар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Guardian,,,,,,,,вартаўнік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Masquerader,,,,,,,,маскарадны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Winona,,,,,,,,Вайнона,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Raft,,,,,,,,плыт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Pure Brilliance,,,,,,,,чыстая асляпляльнасць,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Cut Stone,,,,,,,,абсечаны камень,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bog,,,,,,,,дрыгва,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Marsh,,,,,,,,багна,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
curio,,,,,,,,дзівос,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
collar,,,,,,,,аброжак,калі для жывёлы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
nox,,,,,,,,нявол,"""Як вол, толькі не вол""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
wetness,,,,,,,,макрата,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Gorge,,,,,,,,Цясніна,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
overheating,,,,,,,,перагрэў,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
freezing,,,,,,,,абмаражэнне,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Florid Postern,,,,,,,,вычварны ход,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Den,,,,,,,,логава,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Touch Stone,,,,,,,,Лідыйскі камень,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
container,,,,,,,,ёмішча,калі гаворка пра абстрактнае месца для захоўвання чагось (DST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Palmcone,,,,,,,,шышкальма,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Rucksack,,,,,,,,Рукзак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Backpack,,,,,,,,заплечнік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Hearthsfire,,,,,,,,Агнежар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Scrapbook,,,,,,,,альбом,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
dock,,,,,,,,прыстань,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Slipper,,,,,,,,пантофлі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Fencing,,,,,,,,агароджа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bracer,,,,,,,,Наруч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bracelet,,,,,,,,Бранзалеты,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Cuffs,,,,,,,,Пульсэткі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Strongman,,,,,,,,асілак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bangles,,,,,,,,Бранзалеткі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Nouveau,,,,,,,,Мадэрнавы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Merchant,,,,,,,,купец,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Panflute,,,,,,,,флейта Пана,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
manure,,,,,,,,гной,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
gnome,,,,,,,,гном,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
adventurer,,,,,,,,рызыкант,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Seasoning Station,,,,,,,,прыпраўніца,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
bookcase,,,,,,,,кніжная шафа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Dolled-Up,,,,,,,,Лялечны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Formal,,,,,,,,Урачысты,(DST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Flowery,,,,,,,,Квяцісты,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Ironclad,,,,,,,,Браняносец,Гулецкі Персанаж STS2,,,,MASCULINE,STS2,,Pancernik,,,,,,,,Латоносец,,,,,,,,Броненосець,,,,,,,,,,,,,yes
Circuit,,,,,,,,кампанент,паляпшэнні для WX-78 (DST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Ammo Pouch,,,,,,,,падсумак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Allegiance,,,,,,,,адданасць,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Campfire,,,,,,,,цяпельца,(DST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Frock,,,,,,,,сукня,(DST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
cloak,,,,,,,,плашч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bolt,,,,,,,,рулон,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Planar,,,,,,,,плоскасны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Mourning Glory,,,,,,,,жалобнае ззянне,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Battle Song,,,,,,,,баявая песня,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Battle Stinger,,,,,,,,баявы спеў,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Antique,,,,,,,,Старадаўны,(DST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Straw Hat,,,,,,,,брыль,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Sack,,,,,,,,мех,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Loafers,,,,,,,,лоферы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Clog,,,,,,,,дзеравянікі,абутак на драўлянай падэшве,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Chassis,,,,,,,,корпус,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Valenki,,,,,,,,валёнкі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Fiery,,,,,,,,агністы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
